YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,WKSWORK1,UHRSWORK,INCTOT,INCWAGE
2020,202001,16790,2020001022944,3930,2020000167901,130301,1,3,9170,2,29,8,81,52,36,22500,22500
2020,202001,16921,2020001033433,9825,2020000169211,80001,1,1,9825,2,49,10,101,0,0,0,0
2020,202001,16921,2020001033433,9825,2020000169211,80001,1,2,10218,1,49,6,63,52,40,35000,42600
2020,202001,16921,2020001033433,9825,2020000169211,80001,1,3,9825,2,18,6,63,52,40,19200,19200
2020,202001,17052,2020001042705,14934,2020000170521,110001,1,1,14934,2,39,11,114,52,39,24600,24600
2020,202001,17183,2020001051511,15589,2020000171831,270201,1,1,15589,1,55,10,101,52,40,89400,65000
2020,202001,17183,2020001051511,15589,2020000171831,270201,1,2,15065,2,51,10,101,52,40,74700,57000
2020,202001,17183,2020001051511,15589,2020000171831,270201,1,3,13755,2,18,6,63,14,20,2100,2100
2020,202001,17314,2020001061644,14410,2020000173141,190001,1,1,14410,2,26,10,101,52,36,65000,65000
2020,202001,17314,2020001061644,14410,2020000173141,190001,1,2,25807,2,28,10,101,52,40,49000,49000
2020,202001,17707,2020001088209,2096,2020000177071,250001,1,2,6157,2,38,6,64,8,20,8300,8300
2020,202001,17838,2020001097282,5371,2020000178381,270301,1,3,12445,1,29,11,114,52,60,65000,65000
2020,202001,17969,2020001104940,10349,2020000179691,30101,1,1,10349,2,35,6,64,52,40,11000,11000
2020,202001,18100,2020001113767,4454,2020000181001,130501,1,3,7467,2,36,11,114,52,40,41000,41000
2020,202001,18231,2020001123642,10349,2020000182311,210001,1,2,9301,2,59,8,81,0,0,0,0
2020,202001,18624,2020010064678,7860,2020000186241,40002,4,1,7860,1,46,6,63,44,84,20960,20000
2020,202001,18755,2020010102297,9432,2020000187551,40002,4,1,9432,1,21,6,63,52,40,22000,22000
2020,202001,19148,2020000046702,3799,2020000191481,40002,1,2,1048,2,49,6,63,52,49,35000,32000
2020,202001,19410,2020000178732,13493,2020000194101,20002,1,1,13493,1,28,6,63,52,35,22500,22500
2020,202001,19410,2020000178732,13493,2020000194101,20002,1,2,11921,2,28,6,63,0,0,6070,0
2020,202001,19541,2020000247979,40217,2020000195411,10102,1,1,40217,2,33,8,81,52,40,36500,6500
2020,202001,19672,2020000322651,9694,2020000196721,20002,1,2,18471,1,59,6,63,32,40,86000,80000
2020,202001,19803,2020000384670,7729,2020000198031,30002,1,1,7729,2,32,7,71,0,0,0,0
2020,202001,19803,2020000384670,7729,2020000198031,30002,1,2,7467,1,39,7,71,52,40,107400,104000
2020,202001,20458,2020000730200,3799,2020000204581,30002,1,1,3799,2,60,6,65,52,40,77000,77000
2020,202001,20589,2020000803004,4454,2020000205891,40002,1,2,3275,2,60,3,30,0,0,200,0
2020,202001,20589,2020000803004,4454,2020000205891,40002,1,3,6288,1,28,5,50,14,40,500,0
2020,202001,20720,2020000875296,10480,2020000207201,20002,1,1,10480,1,32,10,101,52,40,196000,182000
2020,202001,20720,2020000875296,10480,2020000207201,20002,1,2,7991,2,36,8,81,0,0,0,0
2020,202001,20982,2020001010027,15458,2020000209821,30002,1,1,15458,1,42,6,65,52,40,33800,31200
2020,202001,20982,2020001010027,15458,2020000209821,30002,1,2,17030,2,32,6,65,52,35,152100,48100
2020,202001,20982,2020001010027,15458,2020000209821,30002,1,3,21746,1,34,6,63,48,20,23000,23000
2020,202001,21113,2020001086150,4585,2020000211131,40002,1,2,7205,1,19,5,50,6,30,4600,3000
2020,202001,21244,2020010002075,786,2020000212441,10104,4,1,786,1,60,2,26,0,0,12200,0
2020,202001,21375,2020010009689,1572,2020000213751,11004,4,1,1572,1,18,6,63,0,0,0,0
2020,202001,21637,2020010024019,7598,2020000216371,11904,3,1,7598,1,31,6,63,0,0,0,0
2020,202001,21899,2020010038953,11135,2020000218991,20704,4,1,11135,2,18,6,65,1,35,4000,4000
2020,202001,22030,2020010046069,655,2020000220301,20104,3,1,655,1,34,8,81,12,20,25100,3100
2020,202001,22292,2020010060709,14279,2020000222921,40004,4,1,14279,2,20,6,63,14,10,3090,2100
2020,202001,22423,2020010067078,786,2020000224231,11504,4,1,786,2,59,0,2,0,0,420,0
2020,202001,22947,2020010096600,9956,2020000229471,20704,4,1,9956,2,20,7,71,52,30,8000,8000
2020,202001,23078,2020010105461,6288,2020000230781,20204,3,1,6288,1,32,2,26,0,0,0,0
2020,202001,23209,2020010114658,14279,2020000232091,10904,4,1,14279,2,19,6,65,1,35,4000,4000
2020,202001,23340,2020010121788,6419,2020000233401,30004,3,1,6419,1,29,2,26,0,0,0,0
2020,202001,23602,2020010136089,393,2020000236021,10804,4,1,393,2,36,6,65,1,32,6600,6600
2020,202001,23995,2020010159130,12314,2020000239951,20704,4,1,12314,2,19,6,65,0,0,0,0
2020,202001,24126,2020010166187,9301,2020000241261,50004,4,1,9301,1,18,6,63,1,20,900,900
2020,202001,24519,2020000001583,12576,2020000245191,50004,1,1,12576,2,52,6,65,52,37,27430,27000
2020,202001,24519,2020000001583,12576,2020000245191,50004,1,2,14279,1,49,6,65,52,55,55000,55000
2020,202001,24519,2020000001583,12576,2020000245191,50004,1,3,15458,2,30,8,81,16,25,4800,4800
2020,202001,24519,2020000001583,12576,2020000245191,50004,1,4,16113,2,22,8,81,52,25,9000,9000
2020,202001,24912,2020000023497,17685,2020000249121,11104,1,1,17685,1,55,11,114,1,50,35000,35000
2020,202001,24912,2020000023497,17685,2020000249121,11104,1,2,14934,2,57,10,101,52,60,107000,107000
2020,202001,25043,2020000029719,14017,2020000250431,12904,1,2,22401,1,59,7,71,42,40,40000,0
2020,202001,25305,2020000044407,13100,2020000253051,10804,1,1,13100,2,34,11,114,52,55,55000,55000
2020,202001,25305,2020000044407,13100,2020000253051,10804,1,2,13886,1,34,11,114,52,55,105000,105000
2020,202001,25436,2020000051122,10611,2020000254361,11504,1,1,10611,1,36,6,61,52,40,27000,27000
2020,202001,25436,2020000051122,10611,2020000254361,11504,1,2,14803,2,36,4,40,0,0,10000,0
2020,202001,25567,2020000059149,25414,2020000255671,20804,1,1,25414,2,38,6,61,52,42,41600,41600
2020,202001,25567,2020000059149,25414,2020000255671,20804,1,2,24628,1,45,4,40,40,40,35000,0
2020,202001,25960,2020000079863,11921,2020000259601,10204,1,1,11921,1,45,10,101,52,40,100000,100000
2020,202001,25960,2020000079863,11921,2020000259601,10204,1,2,12314,2,42,8,81,36,35,11000,11000
2020,202001,25960,2020000079863,11921,2020000259601,10204,1,3,13886,1,20,6,65,8,25,4600,4600
2020,202001,25960,2020000079863,11921,2020000259601,10204,1,4,11397,2,18,5,50,12,10,2000,2000
2020,202001,26091,2020000087463,21222,2020000260911,10604,1,1,21222,1,46,6,63,2,24,51600,39600
2020,202001,26091,2020000087463,21222,2020000260911,10604,1,2,21615,2,36,10,101,0,0,0,0
2020,202001,26222,2020000094839,43361,2020000262221,11804,1,1,43361,2,25,10,101,52,36,54000,54000
2020,202001,26353,2020000101946,28558,2020000263531,70004,1,2,25545,2,60,10,101,0,0,26600,0
2020,202001,26484,2020000109899,16375,2020000264841,40004,1,1,16375,2,50,6,63,52,40,50000,50000
2020,202001,26746,2020000124332,12445,2020000267461,11704,1,2,13886,1,57,6,64,52,40,42000,42000
2020,202001,26877,2020000132108,16637,2020000268771,20704,1,1,16637,1,22,8,81,52,40,20300,20300
2020,202001,26877,2020000132108,16637,2020000268771,20704,1,2,14803,2,20,2,23,4,9,2700,2700
2020,202001,27139,2020000146092,36549,2020000271391,10404,1,1,36549,1,55,6,63,52,40,19400,24000
2020,202001,27401,2020000160148,14410,2020000274011,13004,1,1,14410,1,42,8,81,52,45,117000,117000
2020,202001,27401,2020000160148,14410,2020000274011,13004,1,2,10611,2,39,7,71,36,10,3600,3600
2020,202001,27532,2020000167495,11528,2020000275321,20404,1,1,11528,2,60,11,114,52,40,85000,85000
2020,202001,27663,2020000174446,13624,2020000276631,12104,1,1,13624,2,58,6,61,52,40,24000,24000
2020,202001,27663,2020000174446,13624,2020000276631,12104,1,2,21484,1,37,6,61,52,40,30000,30000
2020,202001,27663,2020000174446,13624,2020000276631,12104,1,3,19781,2,32,6,61,52,40,40000,40000
2020,202001,27925,2020000189991,10611,2020000279251,12204,1,1,10611,1,57,4,40,52,40,35000,35000
2020,202001,27925,2020000189991,10611,2020000279251,12204,1,2,12052,2,59,2,26,0,0,0,0
2020,202001,27925,2020000189991,10611,2020000279251,12204,1,3,13493,2,30,10,101,52,40,27400,27400
2020,202001,27925,2020000189991,10611,2020000279251,12204,1,4,14672,2,22,8,81,2,15,3600,3600
2020,202001,27925,2020000189991,10611,2020000279251,12204,1,5,11397,2,20,6,65,0,0,0,0
2020,202001,27925,2020000189991,10611,2020000279251,12204,1,7,11659,2,20,0,2,0,0,1000,0
2020,202001,28318,2020000213534,15327,2020000283181,11404,1,1,15327,2,60,6,65,30,13,20040,20000
2020,202001,28449,2020000220680,12969,2020000284491,70004,1,1,12969,1,56,2,23,0,0,11600,0
2020,202001,28449,2020000220680,12969,2020000284491,70004,1,2,11659,2,52,10,101,0,0,0,0
2020,202001,28449,2020000220680,12969,2020000284491,70004,1,3,17161,1,26,6,63,8,40,5000,5000
2020,202001,28449,2020000220680,12969,2020000284491,70004,1,4,13231,1,18,5,50,0,0,7100,0
2020,202001,28711,2020000235036,6550,2020000287111,10104,1,1,6550,1,27,10,101,52,40,85000,85000
2020,202001,28842,2020000242476,15589,2020000288421,11004,1,2,12707,2,60,11,114,0,0,0,0
2020,202001,28973,2020000249597,72967,2020000289731,13104,1,1,72967,2,46,6,63,52,40,60000,60000
2020,202001,28973,2020000249597,72967,2020000289731,13104,1,2,62618,1,44,6,63,52,40,68000,68000
2020,202001,28973,2020000249597,72967,2020000289731,13104,1,3,79648,2,23,6,63,52,40,29000,29000
2020,202001,29235,2020000263372,12969,2020000292351,60004,1,1,12969,1,42,11,115,52,32,116300,115000
2020,202001,29235,2020000263372,12969,2020000292351,60004,1,2,12838,2,39,8,81,52,24,65000,65000
2020,202001,29366,2020000270532,3930,2020000293661,70004,1,2,9956,1,31,6,65,24,36,4000,4000
2020,202001,29497,2020000277262,51614,2020000294971,10904,1,1,51614,2,30,11,114,52,60,34000,34000
2020,202001,29497,2020000277262,51614,2020000294971,10904,1,2,89735,1,30,11,114,52,60,34000,34000
2020,202001,29628,2020000284747,12314,2020000296281,11004,1,1,12314,1,39,10,101,52,50,65000,65000
2020,202001,29628,2020000284747,12314,2020000296281,11004,1,2,12838,2,36,7,71,35,40,12000,12000
2020,202001,29759,2020000291652,12969,2020000297591,10704,1,1,12969,1,52,10,101,52,42,80000,80000
2020,202001,29759,2020000291652,12969,2020000297591,10704,1,2,13100,2,52,10,101,52,40,200000,200000
2020,202001,29759,2020000291652,12969,2020000297591,10704,1,3,15982,2,20,7,71,12,21,2200,2200
2020,202001,29759,2020000291652,12969,2020000297591,10704,1,4,14148,2,18,6,63,16,20,1700,1700
2020,202001,29890,2020000298527,13493,2020000298901,12604,1,1,13493,2,48,10,101,4,35,29800,25000
2020,202001,29890,2020000298527,13493,2020000298901,12604,1,2,13362,1,51,7,71,52,40,33000,30000
2020,202001,30021,2020000306462,8122,2020000300211,12604,1,1,8122,2,55,10,101,16,40,25000,25000
2020,202001,30152,2020000314479,52531,2020000301521,11004,1,1,52531,2,58,11,116,0,0,0,0
2020,202001,30283,2020000322133,14541,2020000302831,30004,1,1,14541,2,32,7,71,0,0,5300,0
2020,202001,30283,2020000322133,14541,2020000302831,30004,1,2,12969,1,42,7,71,16,40,22000,16000
2020,202001,30414,2020000329191,10873,2020000304141,30004,1,1,10873,1,51,6,63,52,40,37000,37000
2020,202001,30414,2020000329191,10873,2020000304141,30004,1,2,13362,2,52,7,71,0,0,0,0
2020,202001,30414,2020000329191,10873,2020000304141,30004,1,3,13755,2,21,6,63,0,0,0,0
2020,202001,30414,2020000329191,10873,2020000304141,30004,1,7,15720,1,21,6,63,52,40,26000,26000
2020,202001,30545,2020000336167,8908,2020000305451,90004,1,1,8908,2,60,6,65,0,0,16300,0
2020,202001,30676,2020000344221,16113,2020000306761,12804,1,1,16113,1,39,7,71,26,45,37200,20000
2020,202001,30938,2020000359211,7991,2020000309381,20904,1,2,14148,1,38,6,64,52,40,31700,31700
2020,202001,31069,2020000364557,7074,2020000310691,12604,1,1,7074,1,56,6,65,0,0,15200,0
2020,202001,31069,2020000364557,7074,2020000310691,12604,1,2,6943,2,59,6,65,52,45,75000,70000
2020,202001,31069,2020000364557,7074,2020000310691,12604,1,3,8515,1,39,6,63,52,40,65500,62000
2020,202001,31331,2020000379609,9039,2020000313311,30004,1,1,9039,2,57,3,30,52,35,41000,41000
2020,202001,31462,2020000387778,6157,2020000314621,13304,1,1,6157,2,26,8,81,52,40,33600,33600
2020,202001,31462,2020000387778,6157,2020000314621,13304,1,2,9956,1,27,8,81,52,50,43200,43200
2020,202001,31593,2020000394134,38383,2020000315931,10304,1,1,38383,2,30,6,63,52,30,36000,36000
2020,202001,31724,2020000401321,26069,2020000317241,12204,1,1,26069,1,49,6,63,52,58,45000,45000
2020,202001,31724,2020000401321,26069,2020000317241,12204,1,2,20174,2,51,11,115,0,0,0,0
2020,202001,31724,2020000401321,26069,2020000317241,12204,1,3,28165,1,20,6,63,52,40,27000,27000
2020,202001,32117,2020000423067,8515,2020000321171,20304,1,1,8515,2,60,7,71,52,60,78000,70000
2020,202001,32248,2020000430691,5502,2020000322481,60004,1,1,5502,2,48,6,63,52,20,15800,0
2020,202001,32248,2020000430691,5502,2020000322481,60004,1,2,9694,2,20,6,64,52,40,35000,35000
2020,202001,32510,2020000445453,8515,2020000325101,11104,1,1,8515,1,28,10,101,52,70,70000,70000
2020,202001,32510,2020000445453,8515,2020000325101,11104,1,2,11266,1,25,6,64,52,40,75000,75000
2020,202001,32641,2020000453627,15851,2020000326411,11604,1,1,15851,2,37,10,101,52,40,60000,60000
2020,202001,32641,2020000453627,15851,2020000326411,11604,1,2,20829,2,36,11,114,52,40,51000,51000
2020,202001,32903,2020000468304,19781,2020000329031,12704,1,1,19781,1,27,10,101,20,30,8000,8000
2020,202001,32903,2020000468304,19781,2020000329031,12704,1,2,19781,2,25,10,101,38,40,54000,50000
2020,202001,33034,2020000475442,10611,2020000330341,10004,1,1,10611,2,54,10,101,50,55,54900,54000
